24.01.2019 03:50:03;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
24.01.2019 03:50:03;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;2570.0;880.0;295.2132701421801;224.1614906832298;1.1851851851851851;26200.0;372
24.01.2019 07:42:12;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
24.01.2019 07:42:12;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;710.0;383.05263157894734;164.0;5.5;18350.0;205
24.01.2019 11:31:39;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
24.01.2019 11:31:39;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;False;False;True;False;True;1600.0;810.0;284.36241610738256;158.3116883116883;0.95;30180.0;226
24.01.2019 13:39:20;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
24.01.2019 13:39:20;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;False;False;True;2420.0;710.0;274.982332155477;184.90384615384616;0.3793103448275862;39360.0;491
24.01.2019 16:56:25;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
24.01.2019 16:56:25;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;False;True;False;True;False;True;2570.0;710.0;245.3846153846154;131.9558359621451;0.3082706766917293;206990.0;1331
24.01.2019 20:58:54;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
24.01.2019 20:58:54;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;False;True;True;3440.0;940.0;277.37827715355803;184.76190476190476;0.09405940594059406;86040.0;870
25.01.2019 00:15:17;stage;file;history_win;stop;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
25.01.2019 00:15:17;train;D:\PycharmProjects\RIZ8\SPFB.RTS-8.18(5M).csv;10;500;True;False;False;False;True;True;550.0;350.0;170.0;127.3913043478261;18.0;2300.0;94
25.01.2019 00:17:01;stage;file;history_win;stop;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
25.01.2019 00:17:01;train;D:\PycharmProjects\RIZ8\SPFB.RTS-8.18(5M).csv;10;500;True;False;False;False;True;True;550.0;450.0;172.72727272727272;122.97872340425532;1.4821428571428572;1820.0;91
25.01.2019 00:21:11;stage;file;history_win;stop;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
25.01.2019 00:21:11;train;D:\PycharmProjects\RIZ8\SPFB.RTS-8.18(5M).csv;10;500;True;False;False;False;True;True;550.0;380.0;186.02941176470588;116.75;1.7272727272727273;7980.0;108
25.01.2019 00:22:51;stage;file;history_win;stop;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
25.01.2019 00:22:51;train;D:\PycharmProjects\RIZ8\SPFB.RTS-8.18(5M).csv;10;500;True;False;False;False;True;True;550.0;360.0;163.22033898305085;107.23404255319149;5.111111111111111;4590.0;106
25.01.2019 20:34:10;stage;file;history_win;stop;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
25.01.2019 20:34:10;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;500;True;True;False;True;False;True;1260.0;400.0;360.0;175.3030303030303;0.7980769230769231;57190.0;257
26.01.2019 01:33:18;stage;file;history_win;stop;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES
