23.01.2019 23:54:04;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;gross profit;TRADES;epoch
23.01.2019 23:54:49;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;750.0;830.0;161.66666666666666;140.46153846153845;41.5;-400.0;0;119;0
23.01.2019 23:55:33;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;750.0;830.0;154.23076923076923;155.7843137254902;41.5;-3860.0;0;180;0
23.01.2019 23:56:16;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;750.0;830.0;145.4696132596685;149.95867768595042;41.5;-9960.0;0;423;0
23.01.2019 23:57:00;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;800.0;830.0;131.13756613756613;129.71223021582733;41.5;-4520.0;0;795;0
23.01.2019 23:57:43;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;800.0;1340.0;144.04886561954623;145.22082018927443;41.5;-9530.0;0;1207;0
23.01.2019 23:58:27;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;970.0;1340.0;137.4244415243101;134.93714285714285;41.5;-13490.0;0;1636;0
23.01.2019 23:59:10;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;970.0;1340.0;137.40354535974973;134.05876951331496;41.5;-14220.0;0;2048;0
23.01.2019 23:59:25;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;1270.0;860.0;177.2049689440994;164.97041420118344;1.4261363636363635;650.0;650.0;330;0
23.01.2019 23:59:32;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;1270.0;990.0;141.57754010695186;143.2608695652174;2.696969696969697;-6360.0;-6360.0;788;0
23.01.2019 23:59:38;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;5390.0;2730.0;162.7941176470588;159.71653543307087;2.703962703962704;-1790.0;-1790.0;1247;0
23.01.2019 23:59:45;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;5390.0;2730.0;162.423887587822;154.06857142857143;2.703962703962704;3900.0;3900.0;1729;0
23.01.2019 23:59:51;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;5390.0;2730.0;150.13863216266174;142.2583559168925;2.703962703962704;4970.0;4970.0;2189;0
23.01.2019 23:59:58;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;True;5390.0;2730.0;144.61119751166407;136.1549815498155;2.703962703962704;1480.0;1480.0;2641;0
